"ElectionType","Constituency","LligaWin"
"Corts","Arenys de Mar",2
"Corts","Balaguer",3
"Corts","Barcelona",37
"Corts","Berga",3
"Corts","Castellterçol",10
"Corts","Cervera",1
"Corts","Gandesa",1
"Corts","Girona",1
"Corts","Granollers",7
"Corts","Igualada",2
"Corts","Manresa",9
"Corts","Mataró",4
"Corts","Olot",5
"Corts","Puigcerdà",8
"Corts","Sabadell",1
"Corts","Sant Feliu de Llobregat",5
"Corts","Santa Coloma de Farners",8
"Corts","Seu d'Urgell",4
"Corts","Solsona",4
"Corts","Sort-Vielha",1
"Corts","Tarragona-Reus-Falset",2
"Corts","Torroella de Montgrí",1
"Corts","Valls",1
"Corts","Vic",3
"Corts","Vilademuls",2
"Corts","Vilafranca del Penedès",1
"Corts","Vilanova i la Geltrú",10
"Prov","Balaguer",1
"Prov","Barcelona 1",12
"Prov","Barcelona 2",13
"Prov","Barcelona 3",7
"Prov","Cervera-Solsona",1
"Prov","Falset-Gandesa",1
"Prov","Figueres",5
"Prov","Girona",7
"Prov","Igualada-Vilafranca",8
"Prov","La Bisbal",8
"Prov","Lleida-Borges Blanques",1
"Prov","Manresa-Berga",10
"Prov","Mataró-Arenys de Mar",5
"Prov","Olot-Puigcerdà",6
"Prov","Santa Coloma de Farners",8
"Prov","Seu d'Urgell-Sort",2
"Prov","Terrassa-Sabadell",7
"Prov","Tremp-Vielha",1
"Prov","Valls-Montblanc",2
"Prov","Vic-Granollers",11
"Prov","Vilanova-Sant Feliu de Llobregat",12
